24874316
OBJECTIVE	To assess the efficacy of the cytoprotective neuropeptide cortexin in the complex treatment in acute and early rehabilitation stages of ischemic stroke ( II ) .
METHODS	A multicenter prospective double-blind placebo-controlled trial has been carried out .
METHODS	Two hundreds and seventy-two patients with II have been enrolled in the trial .
METHODS	Cortexin was administered in low doses ( 10 mg three times a day intramuscular , using the following schemes : group 1 : 2 courses of cortexin ; group 2 : 1 course of cortexin with the following course of placebo ; group 3 : two courses of placebo .
METHODS	The duration of treatment was 70 days .
METHODS	Patients were examined during 4 visits using clinical tests and instrumental methods .
RESULTS	High efficacy and safety of cortexin in the complex treatment of patients with II has been shown .
RESULTS	The best therapeutic effect was seen in group 1 ( two 10-day courses of cortexin ) .
RESULTS	The results were confirmed by the pharmacoeconomic analysis of treatment tactics based on the estimation of `` net monetary benefit '' .
CONCLUSIONS	Cortexin is recommended for treatment and rehabilitation of patients with II .

